fills,fill_rate,CPS,SpreadCapture%,PTM@5s,Strategy,Q_TOTAL,CAP_FRAC,queue_share,Completion%
29027,0.5,451.00613222172217,0.0,0.0,Aggressive,0.5,0.2,0.25,100.0
29027,0.5,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,0.5,0.2,0.25,100.0
29027,0.5,451.00613222172217,0.0,0.0,Aggressive,0.5,0.2,0.4,100.0
29027,0.5,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,0.5,0.2,0.4,100.0
29027,0.5,451.00613222172217,0.0,0.0,Aggressive,0.5,0.3,0.25,100.0
29027,0.5,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,0.5,0.3,0.25,100.0
29027,0.5,451.00613222172217,0.0,0.0,Aggressive,0.5,0.3,0.4,100.0
29027,0.5,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,0.5,0.3,0.4,100.0
29027,1.0,451.00613222172217,0.0,0.0,Aggressive,1.0,0.2,0.25,100.0
29027,1.0,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,1.0,0.2,0.25,100.0
29027,1.0,451.00613222172217,0.0,0.0,Aggressive,1.0,0.2,0.4,100.0
29027,1.0,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,1.0,0.2,0.4,100.0
29027,1.0,451.00613222172217,0.0,0.0,Aggressive,1.0,0.3,0.25,100.0
29027,1.0,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,1.0,0.3,0.25,100.0
29027,1.0,451.00613222172217,0.0,0.0,Aggressive,1.0,0.3,0.4,100.0
29027,1.0,-451.00613222172603,100.00000000000001,0.0,PassiveThenFlip,1.0,0.3,0.4,100.0
29027,5.0,451.00613222172217,0.0,0.0,Aggressive,5.0,0.2,0.25,100.0
29027,5.0,-451.00613222172603,100.00000000000003,0.0,PassiveThenFlip,5.0,0.2,0.25,100.0
29027,5.0,451.00613222172217,0.0,0.0,Aggressive,5.0,0.2,0.4,100.0
29027,5.0,-451.00613222172603,100.00000000000003,0.0,PassiveThenFlip,5.0,0.2,0.4,100.0
29027,5.0,451.00613222172217,0.0,0.0,Aggressive,5.0,0.3,0.25,100.0
29027,5.0,-451.00613222172603,100.00000000000003,0.0,PassiveThenFlip,5.0,0.3,0.25,100.0
29027,5.0,451.00613222172217,0.0,0.0,Aggressive,5.0,0.3,0.4,100.0
29027,5.0,-451.00613222172603,100.00000000000003,0.0,PassiveThenFlip,5.0,0.3,0.4,100.0
