schedule,lam,mean,var,std,CE
TWAP,0.0,375321033.4446959,258153.58816474376,508.0881696760354,375321033.4446959
AC(lam=1e-06),0.0,377196744.28898585,258265.92174657466,508.19870301543926,377196744.28898585
AC(lam=3e-07),0.0,377196744.30390286,258265.9804638024,508.1987607853864,377196744.30390286
AC(lam=1e-07),0.0,377196744.30816525,258265.99724466188,508.19877729552036,377196744.30816525
AC(lam=3e-08),0.0,377196744.3096564,258266.0031167417,508.19878307286575,377196744.3096564
AC(lam=1e-08),0.0,377196744.31008357,258266.00478542008,508.19878471462334,377196744.31008357
TWAP,1e-08,375321033.4446959,258153.58816474376,508.0881696760354,375321033.4472774
AC(lam=1e-06),1e-08,377196744.28898585,258265.92174657466,508.19870301543926,377196744.2915685
AC(lam=3e-07),1e-08,377196744.30390286,258265.9804638024,508.1987607853864,377196744.30648553
AC(lam=1e-07),1e-08,377196744.30816525,258265.99724466188,508.19877729552036,377196744.3107479
AC(lam=3e-08),1e-08,377196744.3096564,258266.0031167417,508.19878307286575,377196744.31223905
AC(lam=1e-08),1e-08,377196744.31008357,258266.00478542008,508.19878471462334,377196744.31266624
TWAP,3e-08,375321033.4446959,258153.58816474376,508.0881696760354,375321033.4524405
AC(lam=1e-06),3e-08,377196744.28898585,258265.92174657466,508.19870301543926,377196744.2967338
AC(lam=3e-07),3e-08,377196744.30390286,258265.9804638024,508.1987607853864,377196744.3116509
AC(lam=1e-07),3e-08,377196744.30816525,258265.99724466188,508.19877729552036,377196744.31591326
AC(lam=3e-08),3e-08,377196744.3096564,258266.0031167417,508.19878307286575,377196744.3174044
AC(lam=1e-08),3e-08,377196744.31008357,258266.00478542008,508.19878471462334,377196744.3178316
TWAP,1e-07,375321033.4446959,258153.58816474376,508.0881696760354,375321033.47051126
AC(lam=1e-06),1e-07,377196744.28898585,258265.92174657466,508.19870301543926,377196744.3148124
AC(lam=3e-07),1e-07,377196744.30390286,258265.9804638024,508.1987607853864,377196744.32972944
AC(lam=1e-07),1e-07,377196744.30816525,258265.99724466188,508.19877729552036,377196744.3339918
AC(lam=3e-08),1e-07,377196744.3096564,258266.0031167417,508.19878307286575,377196744.33548295
AC(lam=1e-08),1e-07,377196744.31008357,258266.00478542008,508.19878471462334,377196744.33591014
TWAP,3e-07,375321033.4446959,258153.58816474376,508.0881696760354,375321033.522142
AC(lam=1e-06),3e-07,377196744.28898585,258265.92174657466,508.19870301543926,377196744.3664656
AC(lam=3e-07),3e-07,377196744.30390286,258265.9804638024,508.1987607853864,377196744.38138264
AC(lam=1e-07),3e-07,377196744.30816525,258265.99724466188,508.19877729552036,377196744.38564503
AC(lam=3e-08),3e-07,377196744.3096564,258266.0031167417,508.19878307286575,377196744.38713616
AC(lam=1e-08),3e-07,377196744.31008357,258266.00478542008,508.19878471462334,377196744.38756335
TWAP,1e-06,375321033.4446959,258153.58816474376,508.0881696760354,375321033.7028495
AC(lam=1e-06),1e-06,377196744.28898585,258265.92174657466,508.19870301543926,377196744.54725176
AC(lam=3e-07),1e-06,377196744.30390286,258265.9804638024,508.1987607853864,377196744.56216884
AC(lam=1e-07),1e-06,377196744.30816525,258265.99724466188,508.19877729552036,377196744.5664312
AC(lam=3e-08),1e-06,377196744.3096564,258266.0031167417,508.19878307286575,377196744.5679224
AC(lam=1e-08),1e-06,377196744.31008357,258266.00478542008,508.19878471462334,377196744.5683496
